Samples4Survey FeSe_0706
224.08 393243.19
223.08 396200.59
222.08 395538.27
221.08 399642.84
220.08 398451.85
219.08 396492.23
218.08 398321.55
217.08 397128.98
216.08 393485.42
215.08 390302.1
214.08 394234.64
213.08 400946.58
212.08 396405.34
211.08 398394.97
210.08 407321.95
209.08 401794.9
208.08 404324.47
207.08 413438.98
206.08 415739.72
205.08 416377.05
204.08 422084.34
203.08 435512.63
202.08 436139.52
201.08 443023.84
200.08 451383.22
199.08 450660.6
198.08 449243.08
197.08 447324.04
196.08 449030.35
195.08 444349.15
194.08 439771.31
193.08 432761.85
192.08 429515.73
191.08 424427.22
190.08 425187.77
189.08 428966.74
188.08 428524.25
187.08 440482.49
186.08 449045.01
185.08 464862.64
184.08 476035.87
183.08 505795.32
182.08 535544.41
181.08 586944.14
180.08 651779.59
179.08 699356.35
178.08 675619.37
177.08 584961.16
176.08 504155.47
175.08 471500.6
174.08 448683.21
173.08 413161.49
172.08 373360.86
171.08 340984.29
170.08 326057.76
169.08 325711.82
168.08 338275.34
167.08 353398.09
166.08 361602.75
165.08 355760.55
164.08 351473.53
163.08 351289.6
162.08 373312.51
161.08 398542.41
160.08 380949.32
159.08 333259.26
158.08 290144.68
157.08 270399.4
156.08 264581.3
155.08 254223.33
154.08 248986.41
153.08 250945.74
152.08 242559.17
151.08 237835.76
150.08 235240.9
149.08 232515.03
148.08 237477.52
147.08 240085.36
146.08 239764.37
145.08 241650.77
144.08 237725.31
143.08 230661.99
142.08 231890.88
141.08 246397.01
140.08 272438.17
139.08 310572.17
138.08 334270.8
137.08 326142.57
136.08 345436.97
135.08 532460.29
134.08 731254.04
133.08 792365.42
132.08 635008.09
131.08 250279.34
130.08 141699.81
129.08 124022.02
128.08 117408.45
127.08 115756.31
126.08 111125.38
125.08 111454.52
124.08 109616.94
123.08 109764.72
122.08 109540.74
121.08 110254.53
120.08 109562.46
119.08 113846.45
118.08 115620.6
117.08 116690.92
116.08 116637.11
115.08 120828.97
114.08 118900.7
113.08 118801.23
112.08 116443.69
111.08 113368.03
110.08 113918.37
109.08 110773.9
108.08 111148.85
107.08 111084.46
106.08 111776.67
105.08 109867.66
104.08 111643.01
103.08 114171.27
102.08 118490.43
101.08 123674.55
100.08 118794.92
99.08 117711.17
98.08 116648.43
97.08 116791.48
96.08 122756.51
95.08 124309.46
94.08 124113.23
93.08 124552.17
92.08 120957.49
91.08 118479.17
90.08 115841.23
89.08 117873.78
88.08 115295.68
87.08 113429.91
86.08 111111.04
85.08 113651.41
84.08 113646.55
83.08 112247.04
82.08 116657.26
81.08 115269.49
80.08 117042.18
79.08 118415.78
78.08 119214.92
77.08 120235.96
76.08 125651.74
75.08 128016.31
74.08 127429.22
73.08 125680.3
72.08 120092.27
71.08 117370.22
70.08 111849.56
69.08 114034.03
68.08 112441.96
67.08 110287.42
66.08 111104.59
65.08 110114.77
64.08 115679.66
63.08 121797.08
62.08 130159.76
61.08 134529.62
60.08 123478.25
59.08 120012.96
58.08 126609.06
57.08 142643.33
56.08 195018.06
55.08 234636.54
54.08 199493.79
53.08 133292.96
52.08 94144.13
51.08 82844.7
