Samples4Survey LaCo_0603_1
489.08 94120.41
488.08 97143.3
487.08 95484.74
486.08 95786.53
485.08 97882.7
484.08 98051.84
483.08 99019.83
482.08 100068.13
481.08 97900.36
480.08 94400.68
479.08 99081.7
478.08 98899.51
477.08 97865.21
476.08 98697.81
475.08 98597.88
474.08 96189.71
473.08 99884.52
472.08 100695.35
471.08 98606.74
470.08 99625.04
469.08 97923.16
468.08 97149.62
467.08 95788.76
466.08 99173.53
465.08 96729.54
464.08 97744.72
463.08 102354.67
462.08 99287.9
461.08 101987.12
460.08 101688.6
459.08 94861.54
458.08 100329.94
457.08 96484.13
456.08 97449.78
455.08 98250.91
454.08 100358.93
453.08 106370.86
452.08 104063
451.08 103304.68
450.08 98199.15
449.08 97756.03
448.08 102335.88
447.08 99276.74
446.08 103117.25
445.08 100994.29
444.08 101454.55
443.08 101970.45
442.08 103663.5
441.08 105287.29
440.08 101742.28
439.08 102257.75
438.08 102808.24
437.08 104499.64
436.08 106779.79
435.08 105136.32
434.08 102591.9
433.08 107550.12
432.08 103377.22
431.08 105256.75
430.08 104700.32
429.08 108683.43
428.08 104465.73
427.08 104403.13
426.08 105637.66
425.08 106387.28
424.08 106498.09
423.08 106359.17
422.08 106543.4
421.08 102604.7
420.08 108228.04
419.08 104770.09
418.08 103419.77
417.08 106153.91
416.08 109468.69
415.08 105556.63
414.08 109825.52
413.08 107438.57
412.08 109960.8
411.08 106312.56
410.08 103065.49
409.08 106832.02
408.08 107185.54
407.08 103585.14
406.08 106985.87
405.08 110088.51
404.08 109995.16
403.08 109980.44
402.08 111066.13
401.08 113829.43
400.08 113932.02
399.08 114348.85
398.08 115770.2
397.08 111159.8
396.08 111920.36
395.08 110599.76
394.08 106604.13
393.08 113967.32
392.08 105004.36
391.08 106402.59
390.08 108694.32
389.08 106017.03
388.08 106319.61
387.08 108270.2
386.08 109078.75
385.08 109765.38
384.08 111258.88
383.08 115771.56
382.08 109764.14
381.08 109912.79
380.08 113965.71
379.08 111221.73
378.08 109742.74
377.08 109281.36
376.08 112301.73
375.08 107349.38
374.08 110292.43
373.08 112083.86
372.08 108523.94
371.08 114283.09
370.08 110739.7
369.08 109871.3
368.08 114132.7
367.08 114143.55
366.08 113041.01
365.08 116158.95
364.08 117472.61
363.08 116712.49
362.08 113620.42
361.08 115438.93
360.08 116989.26
359.08 110953.76
358.08 113645.02
357.08 115532.31
356.08 115876.94
355.08 115186.9
354.08 117071.21
353.08 120354.55
352.08 116848.62
351.08 118631.87
350.08 117285.1
349.08 117680.22
348.08 122478.83
347.08 117179.75
346.08 121056.87
345.08 121101.49
344.08 118132
343.08 121326.28
342.08 117644.41
341.08 116949.89
340.08 121119.28
339.08 124148.54
338.08 120340.29
337.08 123594.26
336.08 123067.56
335.08 121758.79
334.08 123379.35
333.08 122166.18
332.08 129145.74
331.08 122436.77
330.08 127153.41
329.08 119810.41
328.08 124258.41
327.08 121937.7
326.08 125243.39
325.08 122310.13
324.08 127557.3
323.08 126343.59
322.08 131392.41
321.08 122650.67
320.08 125539.91
319.08 126540.11
318.08 125095.86
317.08 125680.94
316.08 126813.87
315.08 128890.51
314.08 124953.28
313.08 132528.26
312.08 127853.98
311.08 129495.64
310.08 128981.27
309.08 130711.24
308.08 127444.53
307.08 132257.18
306.08 132657.78
305.08 134375.99
304.08 132971.5
303.08 129173.19
302.08 138141.28
301.08 137234.97
300.08 127853.93
299.08 130904.27
298.08 131142.48
297.08 133082.66
296.08 131975.97
295.08 126655.14
294.08 125775.27
293.08 128673.38
292.08 131151.29
291.08 133578.65
290.08 134271.19
289.08 144086.75
288.08 148716.6
287.08 151163.44
286.08 169902.65
285.08 228885.27
284.08 226817.69
283.08 162908.56
282.08 134478.82
281.08 131651.9
280.08 134490.64
279.08 141264.6
278.08 138630.76
277.08 144290.06
276.08 146646.82
275.08 154682
274.08 150615.83
273.08 154625.03
272.08 148225.19
271.08 144502.04
270.08 141576.43
269.08 133095.84
268.08 132922.05
267.08 129376.09
266.08 133760.58
265.08 127511.91
264.08 129333
263.08 130690.75
262.08 129227.87
261.08 134655.41
260.08 133271.6
259.08 132435.88
258.08 129921.7
257.08 131836.81
256.08 132872.42
255.08 128394.52
254.08 135123.01
253.08 130417.87
252.08 130687.99
251.08 135479.37
250.08 132041.11
249.08 131625.31
248.08 131723.37
247.08 135002.06
246.08 134655.73
245.08 134611.14
244.08 130536.24
243.08 132500.49
242.08 137643.67
241.08 136812.29
240.08 138141.57
239.08 135651.24
238.08 141666.4
237.08 140781.71
236.08 144644.73
235.08 150436.8
234.08 148762.58
233.08 152193.19
232.08 150900.94
231.08 155669.24
230.08 143292.91
229.08 140034.4
228.08 143293.15
227.08 139501.15
226.08 134223.37
225.08 136645.4
224.08 137842.37
223.08 133789.42
222.08 126534.59
221.08 128036.55
220.08 122923.85
219.08 125802.02
218.08 126093.84
217.08 124869.17
216.08 128036.3
215.08 124313.64
214.08 130928.83
213.08 134929.64
212.08 136822.67
211.08 137291.14
210.08 140508.15
209.08 134195.56
208.08 140533.97
207.08 129031.35
206.08 129270.02
205.08 124280.22
204.08 132294.99
203.08 124394.34
202.08 123218.65
201.08 125174.74
200.08 136442.7
199.08 142540.73
198.08 153749.99
197.08 157087.37
196.08 169601.09
195.08 191588.52
194.08 194190.44
193.08 161433.59
192.08 123337.68
191.08 106716.72
190.08 109647.87
189.08 99876.35
188.08 106684.4
187.08 104667.34
186.08 101375.81
185.08 106508.28
184.08 101419.71
183.08 103670.35
182.08 101356.4
181.08 103593.06
180.08 106883.28
179.08 103586.47
178.08 107104.38
177.08 108056.25
176.08 108012.14
175.08 103436.9
174.08 107193.28
173.08 107563.64
172.08 107840.45
171.08 109134.2
170.08 109212.32
169.08 109941.7
168.08 112933.52
167.08 109935.76
166.08 112245.88
165.08 110357.11
164.08 112919.86
163.08 111860.88
162.08 110722.7
161.08 108566.66
160.08 114296.33
159.08 110864.21
158.08 109959.13
157.08 114859.42
156.08 114917.06
155.08 110570.19
154.08 113530.55
153.08 116079.88
152.08 116463.26
151.08 115720.24
150.08 119175.36
149.08 113998.72
148.08 116590.63
147.08 117789.76
146.08 119008.97
145.08 115329.06
144.08 122335.04
143.08 121764.81
142.08 119084.17
141.08 119968.45
140.08 125351.41
139.08 127158.84
138.08 133661.6
137.08 134513.04
136.08 134425.32
135.08 134372.96
134.08 140414.53
133.08 140624.53
132.08 136898.13
131.08 129957.02
130.08 130745.65
129.08 131915.2
128.08 124478.71
127.08 118891.12
126.08 116478.75
125.08 108914.41
124.08 111781.59
123.08 113380.53
122.08 112032.79
121.08 110035.52
120.08 107997.74
119.08 112801.55
118.08 111447.84
117.08 115969.38
116.08 110372.76
115.08 113086.51
114.08 110011.2
113.08 116379.38
112.08 112263
111.08 112397.33
110.08 116934.9
109.08 129992.4
108.08 155424.84
107.08 180301.69
106.08 223363.08
105.08 299092.18
104.08 363698.8
103.08 333771.22
102.08 308749.73
101.08 315571.35
100.08 239280.84
99.08 120674.03
98.08 69411.21
97.08 58020.56
96.08 51236.27
95.08 47812.19
94.08 49201.15
93.08 49877.01
92.08 48770.66
91.08 46235.08
90.08 46509.38
89.08 45934.24
88.08 43078.76
87.08 45315.31
86.08 43774.15
85.08 42277.38
84.08 42750.39
83.08 39255.96
82.08 40798.05
81.08 41780.53
80.08 44001.53
79.08 42439.55
78.08 45457.13
77.08 43844.61
76.08 47713.53
75.08 43546.23
74.08 48037.16
73.08 47602.59
72.08 49259.41
71.08 48633.81
70.08 51859.44
69.08 51044.71
68.08 47749.87
67.08 47485.33
66.08 46856.94
65.08 51121.44
64.08 57342.52
63.08 67673.84
62.08 76615.72
61.08 82851.67
60.08 86230.94
59.08 67831.15
58.08 41517.85
57.08 30995.89
56.08 30691.22
55.08 26438.45
54.08 23392.31
53.08 24647.59
52.08 22957.49
51.08 24106.21
50.08 24525.14
49.08 25702.94
48.08 25034.78
47.08 26618.77
46.08 22951.92
45.08 24280.07
44.08 24623.08
43.08 26651.95
42.08 23348.04
41.08 22697.01
40.08 24902.07
39.08 24312.06
38.08 24579.8
37.08 26528.09
36.08 28138.33
35.08 30452.03
34.08 34589.24
33.08 35605.88
32.08 24343.06
31.08 19046.09
30.08 20409.5
29.08 18257.15
28.08 17721.3
27.08 20752.02
26.08 18046.06
25.08 18383.09
24.08 22931.51
23.08 25054.28
22.08 31366.59
21.08 36516.93
20.08 36993.4
19.08 37375.74
18.08 47844.64
17.08 48152.25
16.08 55179.1
15.08 39240.24
14.08 22073.82
13.08 14717.23
12.08 10459.21
11.08 11078.59
10.08 10407.16
9.08 10106.6
8.08 11401.4
7.08 14092.46
6.08 20652.94
5.08 20725.59
4.08 22203.04
3.08 18896.22
2.08 20854.72
1.08 16001.97
0.08 10516.33
-0.92 2125.83
-1.92 1183.17
-2.92 328.56
-3.92 487.06
-4.92 209.22
