Samples4Survey FeSe
47.08 59975.5
46.08 55110.9
45.08 52742.01
44.08 54943.96
43.08 54039.22
42.08 55437.92
41.08 53008.68
40.08 57444.65
39.08 66512.4
38.08 96128.57
37.08 141982.71
36.08 140064.02
35.08 85956.08
34.08 52087.6
33.08 44629.56
32.08 38636.13
31.08 37434.43
30.08 35612.96
29.08 35649.09
28.08 33951.57
27.08 33394.27
26.08 35872.85
25.08 41876.97
24.08 42589.94
23.08 51890.54
22.08 63739.72
21.08 82170.38
20.08 106835.4
19.08 144175.07
18.08 133682.72
17.08 68987.42
16.08 31521.27
15.08 21765.6
14.08 19770.76
13.08 18562.54
12.08 17629.29
11.08 16185.16
10.08 14648.54
9.08 15526.52
8.08 17065.7
7.08 26735.4
6.08 37483.51
5.08 39362.54
4.08 33602.21
3.08 28746.21
2.08 19939.45
1.08 11649.07
0.08 5051.58
-0.92 1963.65
-1.92 986.24
-2.92 515.99
-3.92 713.02
-4.92 479.31
